epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.029014084488153458,6.97892427444458,NA,NA
1,0.03480885177850723,6.344127178192139,NA,NA
2,0.03432595729827881,6.308476448059082,NA,NA
3,0.03424547240138054,6.296290874481201,NA,NA
4,0.03505030274391174,6.289666175842285,NA,NA
5,0.03476861119270325,6.284386157989502,NA,NA
6,0.03541247546672821,6.280887603759766,NA,NA
7,0.034366197884082794,6.340476036071777,NA,NA
8,0.0348893366754055,6.28919792175293,NA,NA
9,0.034688130021095276,6.288517475128174,NA,NA
10,0.034969817847013474,6.28781270980835,NA,NA
11,0.034446679055690765,6.287801265716553,NA,NA
12,0.03492957726120949,6.286659240722656,NA,NA
13,0.034607645124197006,6.286553859710693,NA,NA
14,0.034527163952589035,6.285904884338379,NA,NA
15,0.035130783915519714,6.285956859588623,NA,NA
16,0.0348893366754055,6.285173416137695,NA,NA
17,0.03480885177850723,6.2848711013793945,NA,NA
18,0.03480885177850723,6.284848690032959,NA,NA
19,0.034688130021095276,6.284207344055176,NA,NA
20,0.03480885177850723,6.284308433532715,NA,NA
21,0.035130783915519714,6.284001350402832,NA,NA
22,0.034969817847013474,6.283713340759277,NA,NA
23,0.034607645124197006,6.28390645980835,NA,NA
24,0.0351710245013237,6.283495903015137,NA,NA
25,0.034285712987184525,6.283843040466309,NA,NA
26,0.034688130021095276,6.283219337463379,NA,NA
27,0.034969817847013474,6.283713340759277,NA,NA
28,0.034607645124197006,6.2834153175354,NA,NA
29,0.03476861119270325,6.282702922821045,NA,NA
30,0.034969817847013474,6.283261299133301,NA,NA
31,0.035130783915519714,6.283027648925781,NA,NA
32,0.035130783915519714,6.2826924324035645,NA,NA
33,0.0340845063328743,6.28264856338501,NA,NA
34,0.035130783915519714,6.282572269439697,NA,NA
35,0.035130783915519714,6.282514572143555,NA,NA
36,0.034969817847013474,6.2824811935424805,NA,NA
37,0.03472837060689926,6.282626152038574,NA,NA
38,0.034124746918678284,6.282508850097656,NA,NA
39,0.035130783915519714,6.282386302947998,NA,NA
40,0.03484909608960152,6.281655788421631,NA,NA
41,0.034969817847013474,6.282209396362305,NA,NA
42,0.03509054332971573,6.282140254974365,NA,NA
43,0.03492957726120949,6.2821855545043945,NA,NA
44,0.034285712987184525,6.2821478843688965,NA,NA
45,0.03501006215810776,6.281903266906738,NA,NA
46,0.035130783915519714,6.28253698348999,NA,NA
47,0.03448692336678505,6.282228469848633,NA,NA
48,0.03501006215810776,6.282175540924072,NA,NA
49,0.034688130021095276,6.281740665435791,NA,NA
50,0.03492957726120949,6.281841278076172,NA,NA
51,0.03509054332971573,6.281956672668457,NA,NA
52,0.035130783915519714,6.281387805938721,NA,NA
53,0.035130783915519714,6.28184175491333,NA,NA
54,0.03484909608960152,6.281935214996338,NA,NA
55,0.0348893366754055,6.281742095947266,NA,NA
56,0.03525150939822197,6.2819695472717285,NA,NA
57,0.034607645124197006,6.281261920928955,NA,NA
58,0.03472837060689926,6.281457901000977,NA,NA
59,0.035130783915519714,6.281435012817383,NA,NA
